case_id,target_zone,lockup_trace,operation_count,paper_stock,humidity_band,forme_orientation,impression_force,ink_spread_pct,paper_lift_pct,slip_risk_pct,count_shift,count_split,count_tighten,count_relief,count_swell,count_smear,count_clamp,count_rotate,operation_bin_private,force_bin_private,structure_private
lp_b3cac8f41e8b615,Z3,PLACE Z5 SPACER 31; PLACE Z2 SPACER 8; PLACE Z0 METAL 8; PLACE Z3 SPACER 31; CLAMP Z5 18; TIGHTEN Z2 0.10 0.03; SPLIT Z0 Z2 Z0 22 0.80 0.00; SWELL Z7 0.13 0.00; SHIFT Z3 Z6 8 0.00; RELIEF Z7 0.09 0.00; SPLIT Z3 Z1 Z2 22 0.35 0.00; SPLIT Z0 Z4 Z5 22 0.35 0.04; TIGHTEN Z6 0.10 0.03; SWELL Z3 0.22 0.04; SHIFT Z5 Z7 3 0.03; SHIFT Z4 Z3 8 0.03; SPLIT Z3 Z6 Z7 9 0.50 0.00; SWELL Z6 0.13 0.10; ROTATE 1; SPLIT Z0 Z7 Z2 15 0.80 0.00; SHIFT Z3 Z4 19 0.00; ROTATE 7; SHIFT Z1 Z6 13 0.07; ROTATE 7; SMEAR Z2 0.07 0.00; SMEAR Z5 0.07 0.04; SWELL Z5 0.22 0.00; SWELL Z3 0.06 0.18; SPLIT Z4 Z1 Z2 15 0.50 0.00; SMEAR Z2 0.24 0.00; ROTATE 3; ROTATE 1; RELIEF Z1 0.28 0.11; ROTATE 3; RELIEF Z4 0.16 0.20; SHIFT Z3 Z1 3 0.03; ROTATE 3; ROTATE 1; RELIEF Z1 0.28 0.00; TIGHTEN Z6 0.18 0.08; SMEAR Z7 0.24 0.16; SHIFT Z0 Z6 19 0.03; SMEAR Z1 0.24 0.00; SHIFT Z5 Z5 13 0.12; TIGHTEN Z4 0.10 0.08; SHIFT Z6 Z2 5 0.07; SHIFT Z6 Z4 3 0.03; SMEAR Z6 0.14 0.00; SMEAR Z0 0.24 0.09,49,vellum,damp,north,0.0,0.0,0.0,0.0,10,6,4,4,5,7,1,8,long,empty,rotate
lp_1fccced0ed3108d,Z0,PLACE Z5 METAL 31; PLACE Z4 METAL 31; PLACE Z7 QUOIN 12; ROTATE 1; RELIEF Z5 0.28 0.00; SPLIT Z5 Z5 Z7 15 0.80 0.04; SPLIT Z0 Z0 Z1 22 0.50 0.04; CLAMP Z3 60; CLAMP Z5 42; TIGHTEN Z3 0.18 0.14; SHIFT Z1 Z6 19 0.07; TIGHTEN Z2 0.31 0.08; SWELL Z3 0.02 0.18; SMEAR Z5 0.24 0.09; RELIEF Z6 0.16 0.11; ROTATE 5; ROTATE 2; SMEAR Z1 0.14 0.00; SHIFT Z5 Z4 8 0.07; SMEAR Z5 0.07 0.16; SHIFT Z6 Z1 13 0.03; RELIEF Z4 0.04 0.11; CLAMP Z2 60; SHIFT Z1 Z1 5 0.07; SHIFT Z5 Z2 19 0.07; TIGHTEN Z0 0.10 0.14; SHIFT Z4 Z3 13 0.12; SWELL Z0 0.06 0.00; SPLIT Z7 Z7 Z2 15 0.80 0.00; SPLIT Z1 Z1 Z2 9 0.35 0.09; TIGHTEN Z0 0.18 0.08,31,vellum,dry,west,3.769203,0.0,24.299228,75.700772,6,4,4,3,2,3,3,3,short,low,rotate
lp_6ab96dc5a810a6b,Z0,PLACE Z1 WOOD 31; PLACE Z2 METAL 23; PLACE Z0 WOOD 17; PLACE Z7 METAL 31; CLAMP Z6 60; TIGHTEN Z2 0.31 0.00; SPLIT Z2 Z2 Z1 9 0.65 0.00; CLAMP Z7 18; SHIFT Z1 Z6 8 0.12; SWELL Z0 0.06 0.18; SHIFT Z6 Z6 5 0.03; TIGHTEN Z4 0.31 0.00; SPLIT Z6 Z7 Z5 22 0.80 0.00; SHIFT Z2 Z2 3 0.00; SPLIT Z1 Z4 Z5 22 0.35 0.04; SHIFT Z0 Z5 19 0.03; SMEAR Z5 0.03 0.16; SWELL Z2 0.06 0.04; ROTATE 2; SHIFT Z6 Z6 13 0.12; SHIFT Z6 Z2 8 0.03; SHIFT Z4 Z2 19 0.12; SMEAR Z2 0.07 0.04; SMEAR Z1 0.07 0.04; TIGHTEN Z6 0.10 0.03; RELIEF Z4 0.09 0.05; SHIFT Z3 Z2 8 0.03; ROTATE 1; SWELL Z4 0.02 0.00; SHIFT Z5 Z1 8 0.03; SMEAR Z4 0.03 0.00; SMEAR Z0 0.03 0.16; SHIFT Z1 Z6 19 0.00; SPLIT Z2 Z0 Z7 9 0.35 0.04; SHIFT Z6 Z1 3 0.12; TIGHTEN Z7 0.04 0.00; SHIFT Z0 Z7 19 0.07; SMEAR Z5 0.03 0.04; RELIEF Z2 0.04 0.00; SHIFT Z3 Z0 19 0.12; SHIFT Z3 Z7 3 0.12; RELIEF Z4 0.16 0.11; ROTATE 5,43,cotton,damp,east,7.89241,63.760377,24.287324,11.952299,14,4,4,3,3,6,2,3,medium,low,rotate
lp_b04339d2af8cf22,Z1,PLACE Z5 METAL 31; PLACE Z7 METAL 31; PLACE Z3 SPACER 23; CLAMP Z4 60; RELIEF Z7 0.16 0.00; CLAMP Z3 42; SHIFT Z7 Z0 5 0.07; SWELL Z3 0.22 0.04; SMEAR Z1 0.03 0.16; TIGHTEN Z1 0.10 0.03; SPLIT Z3 Z1 Z3 15 0.35 0.04; ROTATE 7; SHIFT Z4 Z1 8 0.00; ROTATE 7; SWELL Z7 0.22 0.10; ROTATE 3; CLAMP Z3 28; SHIFT Z3 Z6 13 0.00; CLAMP Z1 18; SPLIT Z6 Z2 Z7 5 0.50 0.09; TIGHTEN Z7 0.31 0.14; SMEAR Z7 0.14 0.04; ROTATE 1; RELIEF Z1 0.04 0.05; RELIEF Z4 0.28 0.20; RELIEF Z1 0.09 0.05; SWELL Z1 0.02 0.04; SHIFT Z7 Z7 3 0.00; ROTATE 3; SHIFT Z3 Z4 13 0.07; TIGHTEN Z3 0.10 0.03; SWELL Z0 0.02 0.04; SHIFT Z4 Z5 3 0.12; ROTATE 2; SMEAR Z5 0.24 0.04; SPLIT Z0 Z4 Z2 5 0.35 0.00; SWELL Z4 0.22 0.10; ROTATE 3; SMEAR Z0 0.03 0.00; SHIFT Z3 Z6 19 0.12; ROTATE 5; SMEAR Z6 0.14 0.16; SMEAR Z5 0.24 0.04; TIGHTEN Z4 0.18 0.08; SPLIT Z7 Z7 Z6 9 0.80 0.04; SPLIT Z2 Z6 Z1 9 0.20 0.04; RELIEF Z7 0.04 0.00; SHIFT Z4 Z6 13 0.07; SWELL Z0 0.13 0.10; TIGHTEN Z7 0.04 0.14,50,cotton,damp,east,8.897543,12.69193,76.646174,10.661895,8,5,5,5,6,6,4,8,long,low,rotate
lp_17e8418fac7318e,Z3,PLACE Z4 WOOD 23; PLACE Z3 METAL 8; PLACE Z6 SPACER 17; PLACE Z0 SPACER 23; PLACE Z7 QUOIN 12; SPLIT Z7 Z5 Z3 22 0.35 0.04; SHIFT Z0 Z7 3 0.07; SHIFT Z6 Z4 8 0.03; SHIFT Z3 Z3 8 0.12; SHIFT Z4 Z5 5 0.12; SHIFT Z4 Z0 19 0.03; SWELL Z4 0.06 0.04; CLAMP Z3 18; RELIEF Z4 0.16 0.00; SWELL Z3 0.06 0.10; SHIFT Z4 Z4 5 0.12; SHIFT Z6 Z5 3 0.00; TIGHTEN Z7 0.31 0.14; SMEAR Z0 0.03 0.16; SWELL Z6 0.13 0.18; TIGHTEN Z7 0.31 0.14; TIGHTEN Z6 0.04 0.08; RELIEF Z6 0.16 0.05; SPLIT Z0 Z2 Z0 5 0.80 0.04; RELIEF Z2 0.04 0.05; SWELL Z7 0.02 0.04; TIGHTEN Z1 0.10 0.08; CLAMP Z5 28; CLAMP Z2 28; CLAMP Z3 60; SWELL Z1 0.13 0.04; TIGHTEN Z3 0.18 0.08; ROTATE 2; CLAMP Z5 42; SWELL Z7 0.13 0.10; SHIFT Z6 Z3 8 0.00; ROTATE 7; SHIFT Z1 Z3 13 0.07; SHIFT Z2 Z4 8 0.03; SPLIT Z7 Z1 Z0 22 0.35 0.00; TIGHTEN Z1 0.10 0.03; CLAMP Z7 28; SPLIT Z4 Z0 Z4 5 0.20 0.09; SMEAR Z3 0.24 0.04; TIGHTEN Z1 0.04 0.00; SWELL Z1 0.06 0.10; SPLIT Z0 Z2 Z7 15 0.50 0.00; TIGHTEN Z6 0.04 0.08; SWELL Z4 0.06 0.00; SPLIT Z1 Z0 Z2 15 0.65 0.00; SWELL Z3 0.22 0.18,51,cotton,damp,west,8.238912,25.979658,57.714079,16.306263,10,6,8,3,9,2,6,2,long,low,relief
lp_7b16fc8e9b9fde2,Z4,PLACE Z0 METAL 17; PLACE Z3 METAL 31; PLACE Z2 SPACER 23; PLACE Z5 WOOD 8; SHIFT Z5 Z1 3 0.00; SHIFT Z5 Z2 19 0.00; RELIEF Z4 0.04 0.11; SPLIT Z3 Z3 Z5 9 0.20 0.04; TIGHTEN Z4 0.04 0.08; TIGHTEN Z2 0.31 0.00; SMEAR Z5 0.07 0.16; TIGHTEN Z2 0.31 0.00; SMEAR Z1 0.03 0.00; RELIEF Z6 0.04 0.11; SMEAR Z0 0.03 0.16; SMEAR Z5 0.24 0.00; SHIFT Z1 Z2 19 0.03; ROTATE 1; SHIFT Z6 Z6 13 0.03; SHIFT Z4 Z4 5 0.03; ROTATE 3; SHIFT Z1 Z3 13 0.03; SPLIT Z7 Z1 Z4 9 0.20 0.09; SWELL Z7 0.02 0.10; ROTATE 1; SMEAR Z7 0.07 0.04; SHIFT Z7 Z0 19 0.12; CLAMP Z0 42; SHIFT Z4 Z5 8 0.03; TIGHTEN Z6 0.04 0.03; SPLIT Z7 Z2 Z5 9 0.65 0.00; CLAMP Z2 18; SHIFT Z0 Z0 5 0.07; SHIFT Z7 Z6 8 0.03; TIGHTEN Z0 0.04 0.00; SHIFT Z0 Z3 3 0.00; SHIFT Z3 Z6 3 0.00,37,rag,dry,west,3.472,0.0,0.0,0.0,12,3,5,2,1,5,2,3,medium,low,rotate
lp_7f1b242461a2250,Z4,PLACE Z5 QUOIN 31; PLACE Z3 QUOIN 12; PLACE Z7 METAL 8; PLACE Z2 METAL 8; PLACE Z4 WOOD 12; CLAMP Z7 28; CLAMP Z1 18; ROTATE 2; CLAMP Z1 42; SWELL Z0 0.22 0.00; SMEAR Z4 0.07 0.16; SHIFT Z4 Z5 5 0.12; CLAMP Z0 60; SMEAR Z6 0.14 0.16; SWELL Z1 0.02 0.00; SMEAR Z0 0.24 0.04; RELIEF Z5 0.28 0.11; SMEAR Z5 0.24 0.00; SPLIT Z5 Z1 Z0 22 0.65 0.04; CLAMP Z4 42; RELIEF Z0 0.28 0.00; SPLIT Z6 Z7 Z4 15 0.80 0.00; SPLIT Z0 Z1 Z7 22 0.35 0.09; TIGHTEN Z4 0.31 0.00; SHIFT Z7 Z7 8 0.00; SMEAR Z1 0.03 0.09; TIGHTEN Z3 0.10 0.08; RELIEF Z0 0.09 0.05; RELIEF Z1 0.28 0.20; TIGHTEN Z4 0.18 0.08; RELIEF Z3 0.09 0.00; SHIFT Z1 Z1 5 0.03; SPLIT Z1 Z7 Z5 9 0.80 0.00; RELIEF Z5 0.16 0.00; SWELL Z2 0.22 0.00; RELIEF Z1 0.28 0.11; SPLIT Z5 Z7 Z2 22 0.65 0.04; SHIFT Z2 Z1 8 0.03; SWELL Z1 0.06 0.18; CLAMP Z5 18; SHIFT Z1 Z3 8 0.12; CLAMP Z1 18,42,newsprint,damp,south,6.471395,62.869139,16.67202,20.458841,5,5,3,7,4,5,7,1,medium,low,smear
lp_63b78d75866c72e,Z1,PLACE Z1 SPACER 31; PLACE Z2 WOOD 12; PLACE Z6 QUOIN 23; SHIFT Z2 Z0 8 0.00; SWELL Z2 0.06 0.00; TIGHTEN Z2 0.31 0.08; TIGHTEN Z2 0.31 0.00; RELIEF Z1 0.04 0.20; SHIFT Z2 Z3 5 0.00; SWELL Z0 0.06 0.00; CLAMP Z5 60; SPLIT Z3 Z1 Z0 5 0.20 0.00; SPLIT Z0 Z7 Z0 5 0.20 0.09; SMEAR Z2 0.24 0.09; SPLIT Z1 Z7 Z1 15 0.35 0.04; ROTATE 5; SMEAR Z4 0.14 0.16; SWELL Z6 0.13 0.18; SPLIT Z4 Z6 Z3 22 0.20 0.00; SMEAR Z6 0.24 0.00; RELIEF Z3 0.28 0.20; CLAMP Z1 60; SWELL Z2 0.22 0.04; SWELL Z6 0.06 0.18; SHIFT Z5 Z1 19 0.00; SMEAR Z3 0.24 0.00; SPLIT Z6 Z0 Z6 9 0.80 0.00; SWELL Z6 0.02 0.10; TIGHTEN Z3 0.04 0.14; SPLIT Z6 Z2 Z3 22 0.20 0.04; SHIFT Z2 Z4 13 0.00; RELIEF Z6 0.09 0.00; RELIEF Z4 0.09 0.20; RELIEF Z5 0.28 0.11; RELIEF Z5 0.04 0.20; SWELL Z4 0.06 0.18; SHIFT Z4 Z2 8 0.00; SHIFT Z1 Z2 3 0.12; TIGHTEN Z2 0.10 0.08; TIGHTEN Z1 0.18 0.14; TIGHTEN Z7 0.31 0.14; SPLIT Z3 Z5 Z4 5 0.50 0.09; ROTATE 2; SPLIT Z1 Z3 Z5 15 0.65 0.09; TIGHTEN Z1 0.18 0.00; SHIFT Z5 Z5 13 0.00; RELIEF Z0 0.04 0.20; TIGHTEN Z1 0.18 0.03; RELIEF Z3 0.28 0.05; TIGHTEN Z5 0.04 0.08,50,vellum,dry,west,0.0,0.0,0.0,100.0,7,8,9,8,7,4,2,2,long,empty,smear
lp_63e5988fcf4a182,Z2,PLACE Z7 SPACER 31; PLACE Z4 WOOD 12; PLACE Z3 WOOD 17; CLAMP Z4 28; RELIEF Z7 0.16 0.11; SMEAR Z2 0.24 0.00; SWELL Z3 0.06 0.18; SMEAR Z4 0.14 0.09; SHIFT Z7 Z3 5 0.07; RELIEF Z5 0.16 0.05; SHIFT Z3 Z5 5 0.07; SHIFT Z5 Z4 3 0.07; SHIFT Z7 Z0 5 0.12; TIGHTEN Z7 0.04 0.00; ROTATE 2; TIGHTEN Z6 0.10 0.00; SMEAR Z0 0.14 0.04; SWELL Z5 0.06 0.18; SHIFT Z5 Z3 19 0.12; RELIEF Z4 0.04 0.20; SPLIT Z2 Z7 Z0 9 0.65 0.04; SWELL Z1 0.02 0.04; RELIEF Z4 0.16 0.00; RELIEF Z3 0.16 0.05; CLAMP Z6 60; ROTATE 3; SWELL Z0 0.02 0.18; RELIEF Z4 0.16 0.00; SHIFT Z2 Z2 5 0.03; TIGHTEN Z7 0.04 0.00; SWELL Z2 0.22 0.10; CLAMP Z4 42; SHIFT Z1 Z0 8 0.12; SMEAR Z4 0.07 0.00; SPLIT Z4 Z3 Z2 15 0.20 0.00; ROTATE 3; SWELL Z2 0.22 0.18; SWELL Z1 0.02 0.18; CLAMP Z0 18; ROTATE 7; RELIEF Z0 0.04 0.11; SMEAR Z7 0.07 0.04; SMEAR Z7 0.03 0.00; SHIFT Z4 Z3 13 0.00; SWELL Z7 0.13 0.10; SHIFT Z5 Z6 13 0.07; SWELL Z6 0.13 0.04; TIGHTEN Z5 0.31 0.14; RELIEF Z2 0.28 0.00,49,vellum,damp,north,1.56627,38.126654,49.497936,12.37541,9,2,4,8,9,6,4,4,long,low,rotate
lp_1bb5d5db88109ba,Z3,PLACE Z5 QUOIN 17; PLACE Z0 SPACER 12; PLACE Z7 WOOD 8; RELIEF Z5 0.04 0.05; SHIFT Z5 Z7 13 0.12; SPLIT Z5 Z4 Z7 5 0.35 0.09; TIGHTEN Z6 0.18 0.08; ROTATE 5; SPLIT Z5 Z0 Z2 15 0.50 0.09; SHIFT Z2 Z0 8 0.12; SPLIT Z0 Z5 Z3 15 0.35 0.04; CLAMP Z6 60; SWELL Z4 0.02 0.18; ROTATE 7; CLAMP Z5 18; SHIFT Z4 Z1 8 0.12; SMEAR Z3 0.24 0.00; TIGHTEN Z3 0.04 0.14; SHIFT Z3 Z2 3 0.07; SWELL Z1 0.13 0.10; RELIEF Z1 0.09 0.00; SWELL Z6 0.02 0.00; TIGHTEN Z5 0.31 0.14; CLAMP Z2 60; SPLIT Z1 Z5 Z7 22 0.50 0.09; ROTATE 2; SPLIT Z1 Z5 Z1 22 0.80 0.00; SPLIT Z2 Z1 Z4 15 0.50 0.00; SHIFT Z4 Z4 19 0.12; ROTATE 3; SPLIT Z2 Z4 Z2 22 0.65 0.09; SWELL Z1 0.02 0.18; SHIFT Z0 Z3 19 0.00; TIGHTEN Z1 0.10 0.00; TIGHTEN Z4 0.10 0.00; TIGHTEN Z1 0.18 0.00; RELIEF Z6 0.09 0.00; SPLIT Z0 Z1 Z2 5 0.20 0.09; TIGHTEN Z7 0.10 0.14; SMEAR Z7 0.03 0.04; RELIEF Z6 0.09 0.20; ROTATE 5; TIGHTEN Z4 0.18 0.08; TIGHTEN Z0 0.10 0.03; SWELL Z0 0.02 0.04; ROTATE 3; SWELL Z2 0.02 0.04; ROTATE 1,48,newsprint,damp,west,4.135062,32.356163,41.140369,26.503469,6,8,9,4,6,2,3,7,long,low,rotate
